municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving average,daily_deaths_moving average,sum_of_daily_cases_week,sum_of_daily_deaths_week
Presidente Vargas,2020-03-27,0,0,0,0,0.8571428571428571,0.2857142857142857,6.0,2.0
Presidente Vargas,2020-03-28,0,0,0,0,0.5714285714285714,0.14285714285714285,4.0,1.0
Presidente Vargas,2020-03-29,0,0,0,0,0.42857142857142855,0.0,3.0,0.0
Presidente Vargas,2020-03-30,0,0,0,0,0.42857142857142855,0.0,3.0,0.0
Presidente Vargas,2020-03-31,0,0,0,0,0.2857142857142857,0.0,2.0,0.0
Presidente Vargas,2020-04-01,0,0,0,0,0.14285714285714285,0.0,1.0,0.0
Presidente Vargas,2020-04-02,0,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-04-03,0,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-04-04,0,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-04-05,0,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-04-06,0,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-04-07,0,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-04-08,0,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-04-09,0,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-04-10,0,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-04-11,0,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-04-12,0,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-04-13,0,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-04-14,0,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-04-15,0,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-04-16,0,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-04-17,0,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-04-18,0,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-04-19,0,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-04-20,0,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-04-21,0,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-04-22,0,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-04-23,0,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-04-24,0,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-04-25,0,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-04-26,0,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-04-27,0,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-04-28,0,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-04-29,0,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-04-30,0,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-05-01,0,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-05-02,0,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-05-03,0,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-05-04,0,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-05-05,0,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-05-06,0,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-05-07,0,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-05-08,3,3,0,0,0.42857142857142855,0.0,3.0,0.0
Presidente Vargas,2020-05-09,4,1,0,0,0.5714285714285714,0.0,4.0,0.0
Presidente Vargas,2020-05-10,4,0,0,0,0.5714285714285714,0.0,4.0,0.0
Presidente Vargas,2020-05-11,4,0,0,0,0.5714285714285714,0.0,4.0,0.0
Presidente Vargas,2020-05-12,4,0,0,0,0.5714285714285714,0.0,4.0,0.0
Presidente Vargas,2020-05-13,4,0,0,0,0.5714285714285714,0.0,4.0,0.0
Presidente Vargas,2020-05-14,4,0,0,0,0.5714285714285714,0.0,4.0,0.0
Presidente Vargas,2020-05-15,4,0,0,0,0.14285714285714285,0.0,1.0,0.0
Presidente Vargas,2020-05-16,4,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-05-17,5,1,0,0,0.14285714285714285,0.0,1.0,0.0
Presidente Vargas,2020-05-18,5,0,0,0,0.14285714285714285,0.0,1.0,0.0
Presidente Vargas,2020-05-19,5,0,0,0,0.14285714285714285,0.0,1.0,0.0
Presidente Vargas,2020-05-20,5,0,0,0,0.14285714285714285,0.0,1.0,0.0
Presidente Vargas,2020-05-21,5,0,0,0,0.14285714285714285,0.0,1.0,0.0
Presidente Vargas,2020-05-22,5,0,0,0,0.14285714285714285,0.0,1.0,0.0
Presidente Vargas,2020-05-23,5,0,0,0,0.14285714285714285,0.0,1.0,0.0
Presidente Vargas,2020-05-24,9,4,0,0,0.5714285714285714,0.0,4.0,0.0
Presidente Vargas,2020-05-25,9,0,0,0,0.5714285714285714,0.0,4.0,0.0
Presidente Vargas,2020-05-26,9,0,0,0,0.5714285714285714,0.0,4.0,0.0
Presidente Vargas,2020-05-27,9,0,0,0,0.5714285714285714,0.0,4.0,0.0
Presidente Vargas,2020-05-28,18,9,0,0,1.8571428571428572,0.0,13.0,0.0
Presidente Vargas,2020-05-29,18,0,0,0,1.8571428571428572,0.0,13.0,0.0
Presidente Vargas,2020-05-30,18,0,0,0,1.8571428571428572,0.0,13.0,0.0
Presidente Vargas,2020-05-31,19,1,0,0,1.4285714285714286,0.0,10.0,0.0
Presidente Vargas,2020-06-01,19,0,0,0,1.4285714285714286,0.0,10.0,0.0
Presidente Vargas,2020-06-02,19,0,0,0,1.4285714285714286,0.0,10.0,0.0
Presidente Vargas,2020-06-03,20,1,0,0,1.5714285714285714,0.0,11.0,0.0
Presidente Vargas,2020-06-04,20,0,0,0,0.2857142857142857,0.0,2.0,0.0
Presidente Vargas,2020-06-05,20,0,0,0,0.2857142857142857,0.0,2.0,0.0
Presidente Vargas,2020-06-06,24,4,0,0,0.8571428571428571,0.0,6.0,0.0
Presidente Vargas,2020-06-07,24,0,0,0,0.7142857142857143,0.0,5.0,0.0
Presidente Vargas,2020-06-08,35,11,0,0,2.2857142857142856,0.0,16.0,0.0
Presidente Vargas,2020-06-09,35,0,0,0,2.2857142857142856,0.0,16.0,0.0
Presidente Vargas,2020-06-10,35,0,0,0,2.142857142857143,0.0,15.0,0.0
Presidente Vargas,2020-06-11,35,0,0,0,2.142857142857143,0.0,15.0,0.0
Presidente Vargas,2020-06-12,35,0,0,0,2.142857142857143,0.0,15.0,0.0
Presidente Vargas,2020-06-13,35,0,0,0,1.5714285714285714,0.0,11.0,0.0
Presidente Vargas,2020-06-14,35,0,0,0,1.5714285714285714,0.0,11.0,0.0
Presidente Vargas,2020-06-15,35,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-06-16,35,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-06-17,35,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-06-18,35,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-06-19,35,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-06-20,35,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-06-21,35,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-06-22,35,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-06-23,35,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-06-24,35,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-06-25,35,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-06-26,36,1,0,0,0.14285714285714285,0.0,1.0,0.0
Presidente Vargas,2020-06-27,36,0,0,0,0.14285714285714285,0.0,1.0,0.0
Presidente Vargas,2020-06-28,36,0,0,0,0.14285714285714285,0.0,1.0,0.0
Presidente Vargas,2020-06-29,36,0,0,0,0.14285714285714285,0.0,1.0,0.0
Presidente Vargas,2020-06-30,36,0,0,0,0.14285714285714285,0.0,1.0,0.0
Presidente Vargas,2020-07-01,36,0,0,0,0.14285714285714285,0.0,1.0,0.0
Presidente Vargas,2020-07-02,36,0,0,0,0.14285714285714285,0.0,1.0,0.0
Presidente Vargas,2020-07-03,36,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-07-04,36,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-07-05,36,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-07-06,36,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-07-07,36,0,0,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-07-08,37,1,0,0,0.14285714285714285,0.0,1.0,0.0
Presidente Vargas,2020-07-09,37,0,1,1,0.14285714285714285,0.14285714285714285,1.0,1.0
Presidente Vargas,2020-07-10,37,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
Presidente Vargas,2020-07-11,37,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
Presidente Vargas,2020-07-12,37,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
Presidente Vargas,2020-07-13,37,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
Presidente Vargas,2020-07-14,38,1,1,0,0.2857142857142857,0.14285714285714285,2.0,1.0
Presidente Vargas,2020-07-15,38,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
Presidente Vargas,2020-07-16,38,0,1,0,0.14285714285714285,0.0,1.0,0.0
Presidente Vargas,2020-07-17,38,0,1,0,0.14285714285714285,0.0,1.0,0.0
Presidente Vargas,2020-07-18,38,0,1,0,0.14285714285714285,0.0,1.0,0.0
Presidente Vargas,2020-07-19,38,0,1,0,0.14285714285714285,0.0,1.0,0.0
Presidente Vargas,2020-07-20,38,0,1,0,0.14285714285714285,0.0,1.0,0.0
Presidente Vargas,2020-07-21,38,0,1,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-07-22,38,0,1,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-07-23,38,0,1,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-07-24,48,10,1,0,1.4285714285714286,0.0,10.0,0.0
Presidente Vargas,2020-07-25,48,0,1,0,1.4285714285714286,0.0,10.0,0.0
Presidente Vargas,2020-07-26,48,0,1,0,1.4285714285714286,0.0,10.0,0.0
Presidente Vargas,2020-07-27,48,0,1,0,1.4285714285714286,0.0,10.0,0.0
Presidente Vargas,2020-07-28,48,0,1,0,1.4285714285714286,0.0,10.0,0.0
Presidente Vargas,2020-07-29,48,0,1,0,1.4285714285714286,0.0,10.0,0.0
Presidente Vargas,2020-07-30,48,0,1,0,1.4285714285714286,0.0,10.0,0.0
Presidente Vargas,2020-07-31,48,0,1,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-08-01,48,0,1,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-08-02,48,0,1,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-08-03,49,1,1,0,0.14285714285714285,0.0,1.0,0.0
Presidente Vargas,2020-08-04,50,1,1,0,0.2857142857142857,0.0,2.0,0.0
Presidente Vargas,2020-08-05,50,0,1,0,0.2857142857142857,0.0,2.0,0.0
Presidente Vargas,2020-08-06,50,0,1,0,0.2857142857142857,0.0,2.0,0.0
Presidente Vargas,2020-08-07,50,0,1,0,0.2857142857142857,0.0,2.0,0.0
Presidente Vargas,2020-08-08,50,0,1,0,0.2857142857142857,0.0,2.0,0.0
Presidente Vargas,2020-08-09,50,0,1,0,0.2857142857142857,0.0,2.0,0.0
Presidente Vargas,2020-08-10,50,0,1,0,0.14285714285714285,0.0,1.0,0.0
Presidente Vargas,2020-08-11,50,0,1,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-08-12,50,0,1,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-08-13,50,0,1,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-08-14,50,0,1,0,0.0,0.0,0.0,0.0
Presidente Vargas,2020-08-15,51,1,1,0,0.14285714285714285,0.0,1.0,0.0
Presidente Vargas,2020-08-16,51,0,1,0,0.14285714285714285,0.0,1.0,0.0
Presidente Vargas,2020-08-17,51,0,1,0,0.14285714285714285,0.0,1.0,0.0
Presidente Vargas,2020-08-18,51,0,1,0,0.14285714285714285,0.0,1.0,0.0
Presidente Vargas,2020-08-19,51,0,1,0,0.14285714285714285,0.0,1.0,0.0
Presidente Vargas,2020-08-20,51,0,1,0,0.14285714285714285,0.0,1.0,0.0
Presidente Vargas,2020-08-21,57,6,1,0,1.0,0.0,7.0,0.0
Presidente Vargas,2020-08-22,57,0,1,0,0.8571428571428571,0.0,6.0,0.0
Presidente Vargas,2020-08-23,57,0,1,0,0.8571428571428571,0.0,6.0,0.0
Presidente Vargas,2020-08-24,57,0,1,0,0.8571428571428571,0.0,6.0,0.0
Presidente Vargas,2020-08-25,57,0,1,0,0.8571428571428571,0.0,6.0,0.0
Presidente Vargas,2020-08-26,57,0,1,0,0.8571428571428571,0.0,6.0,0.0
Presidente Vargas,2020-08-27,58,1,1,0,1.0,0.0,7.0,0.0
Presidente Vargas,2020-08-28,58,0,1,0,0.14285714285714285,0.0,1.0,0.0
Presidente Vargas,2020-08-29,58,0,1,0,0.14285714285714285,0.0,1.0,0.0
Presidente Vargas,2020-08-30,58,0,1,0,0.14285714285714285,0.0,1.0,0.0
Presidente Vargas,2020-08-31,58,0,1,0,0.14285714285714285,0.0,1.0,0.0
Presidente Vargas,2020-09-01,58,0,1,0,0.14285714285714285,0.0,1.0,0.0
Presidente Vargas,2020-09-02,58,0,1,0,0.14285714285714285,0.0,1.0,0.0
