municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily cases moving average,daily deaths moving average,sum_of_daily_cases_week,sum_of_daily_deaths_week
Corumbataí do Sul,27-03-2020,0,0,0,0,1.5714285714285714,0.0,11.0,0.0
Corumbataí do Sul,28-03-2020,0,0,0,0,1.4285714285714286,0.0,10.0,0.0
Corumbataí do Sul,29-03-2020,0,0,0,0,1.0,0.0,7.0,0.0
Corumbataí do Sul,30-03-2020,0,0,0,0,1.0,0.0,7.0,0.0
Corumbataí do Sul,31-03-2020,0,0,0,0,1.0,0.0,7.0,0.0
Corumbataí do Sul,01-04-2020,0,0,0,0,0.2857142857142857,0.0,2.0,0.0
Corumbataí do Sul,02-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Corumbataí do Sul,03-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Corumbataí do Sul,04-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Corumbataí do Sul,05-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Corumbataí do Sul,06-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Corumbataí do Sul,07-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Corumbataí do Sul,08-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Corumbataí do Sul,09-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Corumbataí do Sul,10-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Corumbataí do Sul,11-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Corumbataí do Sul,12-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Corumbataí do Sul,13-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Corumbataí do Sul,14-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Corumbataí do Sul,15-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Corumbataí do Sul,16-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Corumbataí do Sul,17-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Corumbataí do Sul,18-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Corumbataí do Sul,19-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Corumbataí do Sul,20-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Corumbataí do Sul,21-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Corumbataí do Sul,22-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Corumbataí do Sul,23-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Corumbataí do Sul,24-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Corumbataí do Sul,25-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Corumbataí do Sul,26-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Corumbataí do Sul,27-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Corumbataí do Sul,28-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Corumbataí do Sul,29-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Corumbataí do Sul,30-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Corumbataí do Sul,01-05-2020,0,0,0,0,0.0,0.0,0.0,0.0
Corumbataí do Sul,02-05-2020,0,0,0,0,0.0,0.0,0.0,0.0
