city,date,cases,daily cases,deaths,daily deaths,daily cases moving average,daily deaths moving average
Ponta Porã,2020-03-27,0,0,0,0,,
Ponta Porã,2020-03-28,0,0,0,0,,
Ponta Porã,2020-03-29,1,1,0,0,,
Ponta Porã,2020-03-30,1,0,0,0,,
Ponta Porã,2020-03-31,1,0,0,0,,
Ponta Porã,2020-04-01,1,0,0,0,,
Ponta Porã,2020-04-02,1,0,0,0,,
Ponta Porã,2020-04-03,1,0,0,0,,
Ponta Porã,2020-04-04,1,0,0,0,,
Ponta Porã,2020-04-05,1,0,0,0,,
Ponta Porã,2020-04-06,1,0,0,0,,
Ponta Porã,2020-04-07,1,0,0,0,,
Ponta Porã,2020-04-08,1,0,0,0,,
Ponta Porã,2020-04-09,1,0,0,0,0.07142857142857142,0.0
Ponta Porã,2020-04-10,1,0,0,0,0.07142857142857142,0.0
Ponta Porã,2020-04-11,1,0,0,0,0.07142857142857142,0.0
Ponta Porã,2020-04-12,1,0,0,0,0.0,0.0
Ponta Porã,2020-04-13,1,0,0,0,0.0,0.0
Ponta Porã,2020-04-14,1,0,0,0,0.0,0.0
Ponta Porã,2020-04-15,1,0,0,0,0.0,0.0
Ponta Porã,2020-04-16,1,0,0,0,0.0,0.0
Ponta Porã,2020-04-17,1,0,0,0,0.0,0.0
Ponta Porã,2020-04-18,1,0,0,0,0.0,0.0
Ponta Porã,2020-04-19,1,0,0,0,0.0,0.0
Ponta Porã,2020-04-20,1,0,0,0,0.0,0.0
Ponta Porã,2020-04-21,1,0,0,0,0.0,0.0
Ponta Porã,2020-04-22,1,0,0,0,0.0,0.0
Ponta Porã,2020-04-23,1,0,0,0,0.0,0.0
Ponta Porã,2020-04-24,1,0,0,0,0.0,0.0
Ponta Porã,2020-04-25,1,0,0,0,0.0,0.0
Ponta Porã,2020-04-26,1,0,0,0,0.0,0.0
Ponta Porã,2020-04-27,1,0,0,0,0.0,0.0
Ponta Porã,2020-04-28,1,0,0,0,0.0,0.0
Ponta Porã,2020-04-29,1,0,0,0,0.0,0.0
Ponta Porã,2020-04-30,1,0,0,0,0.0,0.0
Ponta Porã,2020-05-01,1,0,0,0,0.0,0.0
Ponta Porã,2020-05-02,1,0,0,0,0.0,0.0
Ponta Porã,2020-05-03,1,0,0,0,0.0,0.0
Ponta Porã,2020-05-04,1,0,0,0,0.0,0.0
Ponta Porã,2020-05-05,2,1,0,0,0.07142857142857142,0.0
Ponta Porã,2020-05-06,2,0,0,0,0.07142857142857142,0.0
