city,date,cases,daily cases,deaths,daily deaths,daily cases moving average,daily deaths moving average
Anta Gorda,2020-03-27,0,0,0,0,,
Anta Gorda,2020-03-28,2,2,0,0,,
Anta Gorda,2020-03-29,2,0,0,0,,
Anta Gorda,2020-03-30,2,0,0,0,,
Anta Gorda,2020-03-31,2,0,0,0,,
Anta Gorda,2020-04-01,2,0,0,0,,
Anta Gorda,2020-04-02,2,0,0,0,,
Anta Gorda,2020-04-03,2,0,0,0,,
Anta Gorda,2020-04-04,2,0,0,0,,
Anta Gorda,2020-04-05,2,0,0,0,,
Anta Gorda,2020-04-06,2,0,0,0,,
Anta Gorda,2020-04-07,2,0,0,0,,
Anta Gorda,2020-04-08,2,0,0,0,,
Anta Gorda,2020-04-09,2,0,0,0,0.14285714285714285,0.0
Anta Gorda,2020-04-10,2,0,0,0,0.14285714285714285,0.0
Anta Gorda,2020-04-11,2,0,0,0,0.0,0.0
Anta Gorda,2020-04-12,2,0,0,0,0.0,0.0
Anta Gorda,2020-04-13,2,0,0,0,0.0,0.0
Anta Gorda,2020-04-14,2,0,0,0,0.0,0.0
Anta Gorda,2020-04-15,2,0,0,0,0.0,0.0
Anta Gorda,2020-04-16,2,0,0,0,0.0,0.0
Anta Gorda,2020-04-17,2,0,0,0,0.0,0.0
Anta Gorda,2020-04-18,2,0,0,0,0.0,0.0
Anta Gorda,2020-04-19,2,0,0,0,0.0,0.0
Anta Gorda,2020-04-20,2,0,0,0,0.0,0.0
Anta Gorda,2020-04-21,2,0,0,0,0.0,0.0
Anta Gorda,2020-04-22,2,0,0,0,0.0,0.0
Anta Gorda,2020-04-23,2,0,0,0,0.0,0.0
Anta Gorda,2020-04-24,2,0,0,0,0.0,0.0
Anta Gorda,2020-04-25,2,0,0,0,0.0,0.0
Anta Gorda,2020-04-26,2,0,0,0,0.0,0.0
Anta Gorda,2020-04-27,2,0,0,0,0.0,0.0
Anta Gorda,2020-04-28,2,0,0,0,0.0,0.0
Anta Gorda,2020-04-29,2,0,0,0,0.0,0.0
Anta Gorda,2020-04-30,2,0,0,0,0.0,0.0
Anta Gorda,2020-05-01,2,0,0,0,0.0,0.0
Anta Gorda,2020-05-02,2,0,0,0,0.0,0.0
Anta Gorda,2020-05-03,2,0,0,0,0.0,0.0
Anta Gorda,2020-05-04,2,0,0,0,0.0,0.0
Anta Gorda,2020-05-05,2,0,0,0,0.0,0.0
Anta Gorda,2020-05-06,2,0,0,0,0.0,0.0
Anta Gorda,2020-05-07,2,0,0,0,0.0,0.0
Anta Gorda,2020-05-08,2,0,0,0,0.0,0.0
Anta Gorda,2020-05-09,2,0,0,0,0.0,0.0
Anta Gorda,2020-05-10,2,0,0,0,0.0,0.0
Anta Gorda,2020-05-11,2,0,0,0,0.0,0.0
Anta Gorda,2020-05-12,2,0,0,0,0.0,0.0
Anta Gorda,2020-05-13,2,0,0,0,0.0,0.0
Anta Gorda,2020-05-14,2,0,0,0,0.0,0.0
Anta Gorda,2020-05-15,3,1,0,0,0.07142857142857142,0.0
Anta Gorda,2020-05-16,3,0,0,0,0.07142857142857142,0.0
Anta Gorda,2020-05-17,3,0,0,0,0.07142857142857142,0.0
Anta Gorda,2020-05-18,3,0,0,0,0.07142857142857142,0.0
Anta Gorda,2020-05-19,3,0,0,0,0.07142857142857142,0.0
Anta Gorda,2020-05-20,3,0,0,0,0.07142857142857142,0.0
Anta Gorda,2020-05-21,4,1,0,0,0.14285714285714285,0.0
Anta Gorda,2020-05-22,4,0,0,0,0.14285714285714285,0.0
Anta Gorda,2020-05-23,4,0,0,0,0.14285714285714285,0.0
Anta Gorda,2020-05-24,4,0,0,0,0.14285714285714285,0.0
Anta Gorda,2020-05-25,4,0,0,0,0.14285714285714285,0.0
Anta Gorda,2020-05-26,4,0,0,0,0.14285714285714285,0.0
Anta Gorda,2020-05-27,5,1,0,0,0.21428571428571427,0.0
Anta Gorda,2020-05-28,5,0,0,0,0.21428571428571427,0.0
Anta Gorda,2020-05-29,5,0,0,0,0.14285714285714285,0.0
Anta Gorda,2020-05-30,5,0,0,0,0.14285714285714285,0.0
Anta Gorda,2020-05-31,5,0,0,0,0.14285714285714285,0.0
Anta Gorda,2020-06-01,5,0,0,0,0.14285714285714285,0.0
Anta Gorda,2020-06-02,4,-1,0,0,0.07142857142857142,0.0
Anta Gorda,2020-06-03,4,0,0,0,0.07142857142857142,0.0
Anta Gorda,2020-06-04,6,2,0,0,0.14285714285714285,0.0
Anta Gorda,2020-06-05,7,1,0,0,0.21428571428571427,0.0
Anta Gorda,2020-06-06,7,0,0,0,0.21428571428571427,0.0
Anta Gorda,2020-06-07,7,0,0,0,0.21428571428571427,0.0
Anta Gorda,2020-06-08,7,0,0,0,0.21428571428571427,0.0
Anta Gorda,2020-06-09,7,0,0,0,0.21428571428571427,0.0
Anta Gorda,2020-06-10,7,0,0,0,0.14285714285714285,0.0
Anta Gorda,2020-06-11,7,0,0,0,0.14285714285714285,0.0
Anta Gorda,2020-06-12,7,0,0,0,0.14285714285714285,0.0
Anta Gorda,2020-06-13,7,0,0,0,0.14285714285714285,0.0
Anta Gorda,2020-06-14,7,0,0,0,0.14285714285714285,0.0
Anta Gorda,2020-06-15,7,0,0,0,0.14285714285714285,0.0
Anta Gorda,2020-06-16,7,0,0,0,0.21428571428571427,0.0
Anta Gorda,2020-06-17,7,0,0,0,0.21428571428571427,0.0
Anta Gorda,2020-06-18,7,0,0,0,0.07142857142857142,0.0
Anta Gorda,2020-06-19,8,1,0,0,0.07142857142857142,0.0
