municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving average,daily_deaths_moving average,sum_of_daily_cases_week,sum_of_daily_deaths_week
Paulistas,2020-03-27,0,0,0,0,9.714285714285714,0.0,68.0,0.0
Paulistas,2020-03-28,0,0,0,0,8.857142857142858,0.0,62.0,0.0
Paulistas,2020-03-29,0,0,0,0,8.428571428571429,0.0,59.0,0.0
Paulistas,2020-03-30,0,0,0,0,8.428571428571429,0.0,59.0,0.0
Paulistas,2020-03-31,0,0,0,0,4.857142857142857,0.0,34.0,0.0
Paulistas,2020-04-01,0,0,0,0,1.0,0.0,7.0,0.0
Paulistas,2020-04-02,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-04-03,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-04-04,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-04-05,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-04-06,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-04-07,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-04-08,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-04-09,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-04-10,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-04-11,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-04-12,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-04-13,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-04-14,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-04-15,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-04-16,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-04-17,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-04-18,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-04-19,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-04-20,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-04-21,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-04-22,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-04-23,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-04-24,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-04-25,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-04-26,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-04-27,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-04-28,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-04-29,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-04-30,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-05-01,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-05-02,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-05-03,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-05-04,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-05-05,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-05-06,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-05-07,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-05-08,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-05-09,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-05-10,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-05-11,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-05-12,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-05-13,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-05-14,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-05-15,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-05-16,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-05-17,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-05-18,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-05-19,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-05-20,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-05-21,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-05-22,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-05-23,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-05-24,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-05-25,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-05-26,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-05-27,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-05-28,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-05-29,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-05-30,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-05-31,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-06-01,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-06-02,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-06-03,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-06-04,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-06-05,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-06-06,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-06-07,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-06-08,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-06-09,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-06-10,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-06-11,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-06-12,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-06-13,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-06-14,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-06-15,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-06-16,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-06-17,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-06-18,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-06-19,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-06-20,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-06-21,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-06-22,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-06-23,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-06-24,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-06-25,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-06-26,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-06-27,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-06-28,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-06-29,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-06-30,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-07-01,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-07-02,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-07-03,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-07-04,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-07-05,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-07-06,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-07-07,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-07-08,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-07-09,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-07-10,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-07-11,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-07-12,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-07-13,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-07-14,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-07-15,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-07-16,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-07-17,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-07-18,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-07-19,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-07-20,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-07-21,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-07-22,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-07-23,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-07-24,0,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-07-25,1,1,0,0,0.14285714285714285,0.0,1.0,0.0
Paulistas,2020-07-26,1,0,0,0,0.14285714285714285,0.0,1.0,0.0
Paulistas,2020-07-27,1,0,0,0,0.14285714285714285,0.0,1.0,0.0
Paulistas,2020-07-28,1,0,0,0,0.14285714285714285,0.0,1.0,0.0
Paulistas,2020-07-29,1,0,0,0,0.14285714285714285,0.0,1.0,0.0
Paulistas,2020-07-30,1,0,0,0,0.14285714285714285,0.0,1.0,0.0
Paulistas,2020-07-31,1,0,0,0,0.14285714285714285,0.0,1.0,0.0
Paulistas,2020-08-01,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-08-02,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-08-03,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-08-04,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-08-05,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-08-06,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-08-07,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-08-08,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-08-09,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-08-10,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-08-11,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-08-12,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-08-13,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-08-14,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-08-15,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-08-16,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-08-17,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-08-18,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-08-19,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-08-20,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-08-21,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-08-22,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-08-23,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-08-24,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-08-25,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-08-26,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-08-27,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-08-28,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-08-29,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-08-30,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-08-31,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-09-01,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-09-02,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-09-03,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-09-04,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-09-05,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-09-06,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-09-07,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-09-08,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-09-09,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-09-10,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-09-11,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-09-12,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-09-13,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-09-14,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-09-15,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-09-16,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-09-17,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-09-18,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-09-19,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-09-20,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-09-21,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-09-22,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-09-23,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-09-24,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-09-25,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-09-26,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-09-27,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-09-28,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-09-29,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-09-30,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-10-01,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-10-02,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-10-03,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-10-04,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-10-05,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-10-06,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-10-07,1,0,0,0,0.0,0.0,0.0,0.0
Paulistas,2020-10-08,3,2,0,0,0.2857142857142857,0.0,2.0,0.0
Paulistas,2020-10-09,6,3,0,0,0.7142857142857143,0.0,5.0,0.0
Paulistas,2020-10-10,6,0,0,0,0.7142857142857143,0.0,5.0,0.0
Paulistas,2020-10-11,6,0,0,0,0.7142857142857143,0.0,5.0,0.0
Paulistas,2020-10-12,6,0,0,0,0.7142857142857143,0.0,5.0,0.0
Paulistas,2020-10-13,6,0,0,0,0.7142857142857143,0.0,5.0,0.0
Paulistas,2020-10-14,6,0,0,0,0.7142857142857143,0.0,5.0,0.0
Paulistas,2020-10-15,6,0,0,0,0.42857142857142855,0.0,3.0,0.0
Paulistas,2020-10-16,7,1,0,0,0.14285714285714285,0.0,1.0,0.0
