city,city,date,cases,daily cases,deaths,daily deaths,daily cases moving average,daily deaths moving average
Cambuquira,Cambuquira,2020-03-27,0,0,0,0,,
Cambuquira,Cambuquira,2020-03-28,0,0,0,0,,
Cambuquira,Cambuquira,2020-03-29,0,0,0,0,,
Cambuquira,Cambuquira,2020-03-30,0,0,0,0,,
Cambuquira,Cambuquira,2020-03-31,0,0,0,0,,
Cambuquira,Cambuquira,2020-04-01,0,0,0,0,,
Cambuquira,Cambuquira,2020-04-02,0,0,0,0,,
Cambuquira,Cambuquira,2020-04-03,0,0,0,0,,
Cambuquira,Cambuquira,2020-04-04,0,0,0,0,,
Cambuquira,Cambuquira,2020-04-05,0,0,0,0,,
Cambuquira,Cambuquira,2020-04-06,0,0,0,0,,
Cambuquira,Cambuquira,2020-04-07,0,0,0,0,,
Cambuquira,Cambuquira,2020-04-08,0,0,0,0,,
Cambuquira,Cambuquira,2020-04-09,0,0,0,0,0.0,0.0
Cambuquira,Cambuquira,2020-04-10,0,0,0,0,0.0,0.0
Cambuquira,Cambuquira,2020-04-11,1,1,0,0,0.07142857142857142,0.0
Cambuquira,Cambuquira,2020-04-12,1,0,0,0,0.07142857142857142,0.0
Cambuquira,Cambuquira,2020-04-13,1,0,0,0,0.07142857142857142,0.0
Cambuquira,Cambuquira,2020-04-14,1,0,0,0,0.07142857142857142,0.0
Cambuquira,Cambuquira,2020-04-15,1,0,0,0,0.07142857142857142,0.0
Cambuquira,Cambuquira,2020-04-16,1,0,0,0,0.07142857142857142,0.0
Cambuquira,Cambuquira,2020-04-17,1,0,0,0,0.07142857142857142,0.0
Cambuquira,Cambuquira,2020-04-18,1,0,0,0,0.07142857142857142,0.0
Cambuquira,Cambuquira,2020-04-19,1,0,0,0,0.07142857142857142,0.0
Cambuquira,Cambuquira,2020-04-20,1,0,0,0,0.07142857142857142,0.0
Cambuquira,Cambuquira,2020-04-21,1,0,0,0,0.07142857142857142,0.0
Cambuquira,Cambuquira,2020-04-22,1,0,0,0,0.07142857142857142,0.0
Cambuquira,Cambuquira,2020-04-23,2,1,0,0,0.14285714285714285,0.0
Cambuquira,Cambuquira,2020-04-24,2,0,0,0,0.14285714285714285,0.0
Cambuquira,Cambuquira,2020-04-25,2,0,0,0,0.07142857142857142,0.0
Cambuquira,Cambuquira,2020-04-26,2,0,0,0,0.07142857142857142,0.0
Cambuquira,Cambuquira,2020-04-27,2,0,0,0,0.07142857142857142,0.0
Cambuquira,Cambuquira,2020-04-28,2,0,0,0,0.07142857142857142,0.0
Cambuquira,Cambuquira,2020-04-29,2,0,0,0,0.07142857142857142,0.0
Cambuquira,Cambuquira,2020-04-30,2,0,0,0,0.07142857142857142,0.0
Cambuquira,Cambuquira,2020-05-01,2,0,0,0,0.07142857142857142,0.0
Cambuquira,Cambuquira,2020-05-02,2,0,0,0,0.07142857142857142,0.0
Cambuquira,Cambuquira,2020-05-03,2,0,0,0,0.07142857142857142,0.0
Cambuquira,Cambuquira,2020-05-04,2,0,0,0,0.07142857142857142,0.0
Cambuquira,Cambuquira,2020-05-05,2,0,0,0,0.07142857142857142,0.0
Cambuquira,Cambuquira,2020-05-06,2,0,0,0,0.07142857142857142,0.0
Cambuquira,Cambuquira,2020-05-07,2,0,0,0,0.0,0.0
Cambuquira,Cambuquira,2020-05-08,2,0,0,0,0.0,0.0
Cambuquira,Cambuquira,2020-05-09,2,0,0,0,0.0,0.0
Cambuquira,Cambuquira,2020-05-10,2,0,0,0,0.0,0.0
Cambuquira,Cambuquira,2020-05-11,2,0,0,0,0.0,0.0
Cambuquira,Cambuquira,2020-05-12,2,0,0,0,0.0,0.0
Cambuquira,Cambuquira,2020-05-13,2,0,0,0,0.0,0.0
Cambuquira,Cambuquira,2020-05-14,2,0,0,0,0.0,0.0
Cambuquira,Cambuquira,2020-05-15,2,0,0,0,0.0,0.0
Cambuquira,Cambuquira,2020-05-16,2,0,0,0,0.0,0.0
Cambuquira,Cambuquira,2020-05-17,2,0,0,0,0.0,0.0
Cambuquira,Cambuquira,2020-05-18,2,0,0,0,0.0,0.0
Cambuquira,Cambuquira,2020-05-19,2,0,0,0,0.0,0.0
Cambuquira,Cambuquira,2020-05-20,2,0,0,0,0.0,0.0
Cambuquira,Cambuquira,2020-05-21,2,0,0,0,0.0,0.0
Cambuquira,Cambuquira,2020-05-22,2,0,0,0,0.0,0.0
Cambuquira,Cambuquira,2020-05-23,2,0,0,0,0.0,0.0
Cambuquira,Cambuquira,2020-05-24,2,0,0,0,0.0,0.0
Cambuquira,Cambuquira,2020-05-25,2,0,0,0,0.0,0.0
Cambuquira,Cambuquira,2020-05-26,4,2,0,0,0.14285714285714285,0.0
Cambuquira,Cambuquira,2020-05-27,3,-1,0,0,0.07142857142857142,0.0
Cambuquira,Cambuquira,2020-05-28,3,0,0,0,0.07142857142857142,0.0
Cambuquira,Cambuquira,2020-05-29,3,0,0,0,0.07142857142857142,0.0
Cambuquira,Cambuquira,2020-05-30,3,0,0,0,0.07142857142857142,0.0
Cambuquira,Cambuquira,2020-05-31,3,0,0,0,0.07142857142857142,0.0
Cambuquira,Cambuquira,2020-06-01,3,0,0,0,0.07142857142857142,0.0
Cambuquira,Cambuquira,2020-06-02,3,0,0,0,0.07142857142857142,0.0
Cambuquira,Cambuquira,2020-06-03,3,0,0,0,0.07142857142857142,0.0
Cambuquira,Cambuquira,2020-06-04,3,0,0,0,0.07142857142857142,0.0
Cambuquira,Cambuquira,2020-06-05,3,0,0,0,0.07142857142857142,0.0
Cambuquira,Cambuquira,2020-06-06,3,0,0,0,0.07142857142857142,0.0
Cambuquira,Cambuquira,2020-06-07,3,0,0,0,0.07142857142857142,0.0
Cambuquira,Cambuquira,2020-06-08,3,0,0,0,0.07142857142857142,0.0
Cambuquira,Cambuquira,2020-06-09,3,0,0,0,-0.07142857142857142,0.0
Cambuquira,Cambuquira,2020-06-10,3,0,0,0,0.0,0.0
Cambuquira,Cambuquira,2020-06-11,3,0,0,0,0.0,0.0
Cambuquira,Cambuquira,2020-06-12,3,0,0,0,0.0,0.0
Cambuquira,Cambuquira,2020-06-13,3,0,0,0,0.0,0.0
Cambuquira,Cambuquira,2020-06-14,3,0,0,0,0.0,0.0
Cambuquira,Cambuquira,2020-06-15,3,0,0,0,0.0,0.0
Cambuquira,Cambuquira,2020-06-16,3,0,0,0,0.0,0.0
Cambuquira,Cambuquira,2020-06-17,3,0,0,0,0.0,0.0
Cambuquira,Cambuquira,2020-06-18,3,0,0,0,0.0,0.0
Cambuquira,Cambuquira,2020-06-19,3,0,0,0,0.0,0.0
Cambuquira,Cambuquira,2020-06-20,3,0,0,0,0.0,0.0
Cambuquira,Cambuquira,2020-06-21,3,0,0,0,0.0,0.0
Cambuquira,Cambuquira,2020-06-22,3,0,0,0,0.0,0.0
Cambuquira,Cambuquira,2020-06-23,3,0,0,0,0.0,0.0
Cambuquira,Cambuquira,2020-06-24,3,0,0,0,0.0,0.0
