city,date,cases,daily cases,deaths,daily deaths,daily cases moving average,daily deaths moving average
Umbaúba,2020-03-27,0,0,0,0,,
Umbaúba,2020-03-28,0,0,0,0,,
Umbaúba,2020-03-29,0,0,0,0,,
Umbaúba,2020-03-30,0,0,0,0,,
Umbaúba,2020-03-31,0,0,0,0,,
Umbaúba,2020-04-01,0,0,0,0,,
Umbaúba,2020-04-02,0,0,0,0,,
Umbaúba,2020-04-03,0,0,0,0,,
Umbaúba,2020-04-04,0,0,0,0,,
Umbaúba,2020-04-05,0,0,0,0,,
Umbaúba,2020-04-06,0,0,0,0,,
Umbaúba,2020-04-07,0,0,0,0,,
Umbaúba,2020-04-08,0,0,0,0,,
Umbaúba,2020-04-09,0,0,0,0,0.0,0.0
Umbaúba,2020-04-10,0,0,0,0,0.0,0.0
Umbaúba,2020-04-11,0,0,0,0,0.0,0.0
Umbaúba,2020-04-12,0,0,0,0,0.0,0.0
Umbaúba,2020-04-13,0,0,0,0,0.0,0.0
Umbaúba,2020-04-14,0,0,0,0,0.0,0.0
Umbaúba,2020-04-15,0,0,0,0,0.0,0.0
Umbaúba,2020-04-16,0,0,0,0,0.0,0.0
Umbaúba,2020-04-17,0,0,0,0,0.0,0.0
Umbaúba,2020-04-18,0,0,0,0,0.0,0.0
Umbaúba,2020-04-19,0,0,0,0,0.0,0.0
Umbaúba,2020-04-20,0,0,0,0,0.0,0.0
Umbaúba,2020-04-21,0,0,0,0,0.0,0.0
Umbaúba,2020-04-22,0,0,0,0,0.0,0.0
Umbaúba,2020-04-23,0,0,0,0,0.0,0.0
Umbaúba,2020-04-24,0,0,0,0,0.0,0.0
Umbaúba,2020-04-25,0,0,0,0,0.0,0.0
Umbaúba,2020-04-26,0,0,0,0,0.0,0.0
Umbaúba,2020-04-27,0,0,0,0,0.0,0.0
Umbaúba,2020-04-28,1,1,0,0,0.07142857142857142,0.0
Umbaúba,2020-04-29,1,0,0,0,0.07142857142857142,0.0
Umbaúba,2020-04-30,1,0,0,0,0.07142857142857142,0.0
Umbaúba,2020-05-01,1,0,0,0,0.07142857142857142,0.0
Umbaúba,2020-05-02,2,1,0,0,0.14285714285714285,0.0
Umbaúba,2020-05-03,3,1,0,0,0.21428571428571427,0.0
Umbaúba,2020-05-04,2,-1,1,1,0.14285714285714285,0.07142857142857142
Umbaúba,2020-05-05,3,1,1,0,0.21428571428571427,0.07142857142857142
Umbaúba,2020-05-06,9,6,1,0,0.6428571428571429,0.07142857142857142
Umbaúba,2020-05-07,9,0,1,0,0.6428571428571429,0.07142857142857142
Umbaúba,2020-05-08,14,5,1,0,1.0,0.07142857142857142
Umbaúba,2020-05-09,14,0,1,0,1.0,0.07142857142857142
Umbaúba,2020-05-10,16,2,1,0,1.1428571428571428,0.07142857142857142
Umbaúba,2020-05-11,16,0,1,0,1.1428571428571428,0.07142857142857142
Umbaúba,2020-05-12,16,0,2,1,1.0714285714285714,0.14285714285714285
Umbaúba,2020-05-13,20,4,2,0,1.3571428571428572,0.14285714285714285
Umbaúba,2020-05-14,23,3,2,0,1.5714285714285714,0.14285714285714285
Umbaúba,2020-05-15,25,2,2,0,1.7142857142857142,0.14285714285714285
Umbaúba,2020-05-16,27,2,2,0,1.7857142857142858,0.14285714285714285
Umbaúba,2020-05-17,27,0,2,0,1.7142857142857142,0.14285714285714285
Umbaúba,2020-05-18,27,0,3,1,1.7857142857142858,0.14285714285714285
Umbaúba,2020-05-19,38,11,3,0,2.5,0.14285714285714285
Umbaúba,2020-05-20,41,3,3,0,2.2857142857142856,0.14285714285714285
Umbaúba,2020-05-21,41,0,4,1,2.2857142857142856,0.21428571428571427
Umbaúba,2020-05-22,43,2,4,0,2.0714285714285716,0.21428571428571427
Umbaúba,2020-05-23,50,7,4,0,2.5714285714285716,0.21428571428571427
Umbaúba,2020-05-24,60,10,4,0,3.142857142857143,0.21428571428571427
Umbaúba,2020-05-25,60,0,4,0,3.142857142857143,0.21428571428571427
Umbaúba,2020-05-26,67,7,4,0,3.642857142857143,0.14285714285714285
Umbaúba,2020-05-27,67,0,4,0,3.357142857142857,0.14285714285714285
Umbaúba,2020-05-28,71,4,4,0,3.4285714285714284,0.14285714285714285
Umbaúba,2020-05-29,75,4,4,0,3.5714285714285716,0.14285714285714285
Umbaúba,2020-05-30,79,4,4,0,3.7142857142857144,0.14285714285714285
Umbaúba,2020-05-31,84,5,5,1,4.071428571428571,0.21428571428571427
Umbaúba,2020-06-01,84,0,5,0,4.071428571428571,0.14285714285714285
Umbaúba,2020-06-02,90,6,5,0,3.7142857142857144,0.14285714285714285
Umbaúba,2020-06-03,105,15,5,0,4.571428571428571,0.14285714285714285
Umbaúba,2020-06-04,105,0,5,0,4.571428571428571,0.07142857142857142
Umbaúba,2020-06-05,110,5,6,1,4.785714285714286,0.14285714285714285
Umbaúba,2020-06-06,112,2,6,0,4.428571428571429,0.14285714285714285
Umbaúba,2020-06-07,113,1,6,0,3.7857142857142856,0.14285714285714285
Umbaúba,2020-06-08,114,1,6,0,3.857142857142857,0.14285714285714285
Umbaúba,2020-06-09,117,3,6,0,3.5714285714285716,0.14285714285714285
Umbaúba,2020-06-10,118,1,6,0,3.642857142857143,0.14285714285714285
Umbaúba,2020-06-11,127,9,6,0,4.0,0.14285714285714285
Umbaúba,2020-06-12,129,2,8,2,3.857142857142857,0.2857142857142857
Umbaúba,2020-06-13,164,35,8,0,6.071428571428571,0.2857142857142857
Umbaúba,2020-06-14,172,8,8,0,6.285714285714286,0.21428571428571427
Umbaúba,2020-06-15,175,3,8,0,6.5,0.21428571428571427
Umbaúba,2020-06-16,185,10,8,0,6.785714285714286,0.21428571428571427
Umbaúba,2020-06-17,186,1,8,0,5.785714285714286,0.21428571428571427
Umbaúba,2020-06-18,189,3,8,0,6.0,0.21428571428571427
Umbaúba,2020-06-19,197,8,8,0,6.214285714285714,0.14285714285714285
Umbaúba,2020-06-20,201,4,8,0,6.357142857142857,0.14285714285714285
Umbaúba,2020-06-21,209,8,8,0,6.857142857142857,0.14285714285714285
Umbaúba,2020-06-22,220,11,9,1,7.571428571428571,0.21428571428571427
