city,date,cases,daily cases,deaths,daily deaths,daily cases moving average,daily deaths moving average
Teresópolis,2020-03-27,0,0,0,0,,
Teresópolis,2020-03-28,0,0,0,0,,
Teresópolis,2020-03-29,0,0,0,0,,
Teresópolis,2020-03-30,1,1,0,0,,
Teresópolis,2020-03-31,1,0,0,0,,
Teresópolis,2020-04-01,1,0,0,0,,
Teresópolis,2020-04-02,1,0,0,0,,
Teresópolis,2020-04-03,1,0,0,0,,
Teresópolis,2020-04-04,4,3,0,0,,
Teresópolis,2020-04-05,7,3,0,0,,
Teresópolis,2020-04-06,7,0,0,0,,
Teresópolis,2020-04-07,7,0,0,0,,
Teresópolis,2020-04-08,7,0,0,0,,
Teresópolis,2020-04-09,7,0,0,0,0.5,0.0
Teresópolis,2020-04-10,8,1,0,0,0.5714285714285714,0.0
Teresópolis,2020-04-11,8,0,0,0,0.5714285714285714,0.0
Teresópolis,2020-04-12,8,0,0,0,0.5714285714285714,0.0
Teresópolis,2020-04-13,9,1,0,0,0.5714285714285714,0.0
Teresópolis,2020-04-14,11,2,0,0,0.7142857142857143,0.0
Teresópolis,2020-04-15,14,3,0,0,0.9285714285714286,0.0
Teresópolis,2020-04-16,14,0,0,0,0.9285714285714286,0.0
Teresópolis,2020-04-17,16,2,1,1,1.0714285714285714,0.07142857142857142
Teresópolis,2020-04-18,16,0,1,0,0.8571428571428571,0.07142857142857142
Teresópolis,2020-04-19,17,1,1,0,0.7142857142857143,0.07142857142857142
Teresópolis,2020-04-20,21,4,1,0,1.0,0.07142857142857142
Teresópolis,2020-04-21,21,0,1,0,1.0,0.07142857142857142
Teresópolis,2020-04-22,24,3,1,0,1.2142857142857142,0.07142857142857142
Teresópolis,2020-04-23,31,7,1,0,1.7142857142857142,0.07142857142857142
Teresópolis,2020-04-24,32,1,1,0,1.7142857142857142,0.07142857142857142
Teresópolis,2020-04-25,32,0,1,0,1.7142857142857142,0.07142857142857142
Teresópolis,2020-04-26,36,4,1,0,2.0,0.07142857142857142
Teresópolis,2020-04-27,36,0,1,0,1.9285714285714286,0.07142857142857142
Teresópolis,2020-04-28,41,5,1,0,2.142857142857143,0.07142857142857142
Teresópolis,2020-04-29,41,0,1,0,1.9285714285714286,0.07142857142857142
Teresópolis,2020-04-30,44,3,1,0,2.142857142857143,0.07142857142857142
Teresópolis,2020-05-01,48,4,4,3,2.2857142857142856,0.21428571428571427
Teresópolis,2020-05-02,52,4,4,0,2.5714285714285716,0.21428571428571427
Teresópolis,2020-05-03,60,8,4,0,3.0714285714285716,0.21428571428571427
Teresópolis,2020-05-04,60,0,4,0,2.7857142857142856,0.21428571428571427
Teresópolis,2020-05-05,61,1,5,1,2.857142857142857,0.2857142857142857
Teresópolis,2020-05-06,68,7,7,2,3.142857142857143,0.42857142857142855
Teresópolis,2020-05-07,68,0,6,-1,2.642857142857143,0.35714285714285715
Teresópolis,2020-05-08,77,9,7,1,3.2142857142857144,0.42857142857142855
Teresópolis,2020-05-09,79,2,7,0,3.357142857142857,0.42857142857142855
Teresópolis,2020-05-10,80,1,8,1,3.142857142857143,0.5
